yts_codearticle;yts_tariftiers;yts_datedebut;yts_datefin;yts_prixnet
HY271;001;01/01/2018 00:00;31/12/2099 00:00;259,66
HY272;001;01/01/2018 00:00;31/12/2099 00:00;41,6
HY276;001;01/01/2018 00:00;31/12/2099 00:00;9,33
HY277;001;01/01/2018 00:00;31/12/2099 00:00;8,64
HY278;001;01/01/2018 00:00;31/12/2099 00:00;8,81
HY279;001;01/01/2018 00:00;31/12/2099 00:00;5,35
HY280;001;01/01/2018 00:00;31/12/2099 00:00;16,6
HY281;001;01/01/2018 00:00;31/12/2099 00:00;6,35
HY282;001;01/01/2018 00:00;31/12/2099 00:00;6,77
HY283;001;01/01/2018 00:00;31/12/2099 00:00;5,72
HY285;001;01/01/2018 00:00;31/12/2099 00:00;31,66
HY286;001;01/01/2018 00:00;31/12/2099 00:00;6,22
HY287;001;01/01/2018 00:00;31/12/2099 00:00;25,25
HY288;001;01/01/2018 00:00;31/12/2099 00:00;31,31
HY289;001;01/01/2018 00:00;31/12/2099 00:00;14,97
HY290;001;01/01/2018 00:00;31/12/2099 00:00;14,97
HY291;001;01/01/2018 00:00;31/12/2099 00:00;12,79
HY292;001;01/01/2018 00:00;31/12/2099 00:00;22,66
HY293;001;01/01/2018 00:00;31/12/2099 00:00;5,16
HY294;001;01/01/2018 00:00;31/12/2099 00:00;6,28
HY295;001;01/01/2018 00:00;31/12/2099 00:00;7,08
HY296;001;01/01/2018 00:00;31/12/2099 00:00;19,63
HY297;001;01/01/2018 00:00;31/12/2099 00:00;43,42
HY298;001;01/01/2018 00:00;31/12/2099 00:00;33,98
HY299;001;01/01/2018 00:00;31/12/2099 00:00;52,38
HY500;001;01/01/2018 00:00;31/12/2099 00:00;72,75
HY502;001;01/01/2018 00:00;31/12/2099 00:00;81,5
HY503;001;01/01/2018 00:00;31/12/2099 00:00;68,3
HY504;001;01/01/2018 00:00;31/12/2099 00:00;48,9
HY505;001;01/01/2018 00:00;31/12/2099 00:00;31,1
LJC03518;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC05025;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC05134;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC05230;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC07025;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC07031;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC07035;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC07037;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC07042;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC07049;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC105148;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC10535;001;01/01/2018 00:00;31/12/2099 00:00;91,0
LJC10537;001;01/01/2018 00:00;31/12/2099 00:00;91,0
