gl_naturepieceg;gl_souche;gl_numero;gl_numligne;gl_datepiece;gl_tiers;gl_representant;gl_codearticle;gl_puht;gl_puttc;gl_qtefact;gl_remiseligne;gl_montantht;gl_montantttc
FAC;;VTE/2021/04200;2;20/07/2021;HEPPNERSTR;GASSM;HY200;13,2;15,84;6,0;0;79,2;95,04
FAC;;VTE/2021/04200;3;20/07/2021;HEPPNERSTR;GASSM;HY201;13,2;15,84;9,0;0;118,8;142,56
FAC;;VTE/2021/04200;4;20/07/2021;HEPPNERSTR;GASSM;HY326;18,9;22,68;12,0;0;226,8;272,16
FAC;;VTE/2021/04201;1;20/07/2021;AGAKHAN;LEYME;XHYG;9,5;11,4;20,0;0;190,0;228,0
FAC;;VTE/2021/04201;2;20/07/2021;AGAKHAN;LEYME;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04201;3;20/07/2021;AGAKHAN;LEYME;HY200;10,85;13,02;12,0;0;130,2;156,24
FAC;;VTE/2021/04203;1;20/07/2021;MONSFORM42;DECRO;F024ASS;13,81;16,57;1,0;0;13,81;16,57
FAC;;VTE/2021/04203;2;20/07/2021;MONSFORM42;DECRO;RAMA 5;92,7;111,24;1,0;0;92,7;111,24
FAC;;VTE/2021/04203;3;20/07/2021;MONSFORM42;DECRO;ENV2;0,17;0,2;250,0;0;42,5;51,0
FAC;;VTE/2021/04203;4;20/07/2021;MONSFORM42;DECRO;F310;24,0;28,8;1,0;0;24,0;28,8
FAC;;VTE/2021/04204;1;20/07/2021;DLDEVELO92;LEYME;Delivery_018;18,0;21,6;1,0;0;18,0;21,6
FAC;;VTE/2021/04204;2;20/07/2021;DLDEVELO92;LEYME;F007;57,51;69,01;3,0;0;172,53;207,04
FAC;;VTE/2021/04204;3;20/07/2021;DLDEVELO92;LEYME;ENV8;0,33;0,4;250,0;0;82,5;99,0
FAC;;VTE/2021/04204;4;20/07/2021;DLDEVELO92;LEYME;ENV28;0,64;0,77;200,0;0;128,0;153,6
FAC;;VTE/2021/04204;5;20/07/2021;DLDEVELO92;LEYME;F066;32,75;39,3;1,0;0;32,75;39,3
FAC;;VTE/2021/04205;1;21/07/2021;GILG;FERRE;F259ASS;36,27;43,52;1,0;0;36,27;43,52
